Frequency_Hz,PSD_Dry_dB_Hz,PSD_Wet_dB_Hz
682.0,-111.95303025427778,-112.8049032878022
684.0,-111.72647919684292,-112.23393459610158
686.0,-111.12184284970793,-112.57155230077836
688.0,-111.4849748361815,-113.09740438805972
690.0,-111.97777277498736,-112.51778649302236
692.0,-111.93145806669799,-111.95515271001084
694.0,-111.95927832703647,-111.11236637833343
696.0,-105.59646109395095,-98.5067232684392
698.0,-97.95619669663438,-93.24284727252086
700.0,-101.04205098049374,-99.2209790767906
702.0,-110.79326371477092,-112.75970538362328
704.0,-112.98601344899963,-113.46426178205277
706.0,-113.39223947905086,-113.60306176624114
708.0,-112.520873266415,-113.26339167633859
710.0,-111.44688398052779,-112.42236942110247
712.0,-111.54282619999788,-112.93038668009201
714.0,-112.37262915553458,-113.0975969897685
716.0,-112.27705696296411,-113.5155302932281
718.0,-111.0654869794361,-113.12623169291115
720.0,-111.6255858337941,-111.48967464250498
722.0,-110.00170639945165,-112.15808795151474
724.0,-107.35408860391593,-113.39581403008197
726.0,-108.67498070329742,-112.12530863032075
728.0,-110.26541674849526,-111.40873045821456
730.0,-109.93357481965427,-110.57670601986757
732.0,-111.04014005439439,-110.71577469693958
734.0,-109.61145538421297,-111.42679863657014
736.0,-106.98709451323177,-112.870613847776
738.0,-106.55964902980162,-113.47188728482544
740.0,-107.98498998020196,-112.67952771850648
742.0,-111.00818454188467,-111.36097888365912
744.0,-112.37813387365635,-112.03929353118987
746.0,-94.44620275523155,-92.72548974874667
748.0,-86.74816098836905,-88.18286088359639
750.0,-91.04967955609703,-95.24452922391349
752.0,-111.25981314226131,-111.53706633670147
754.0,-112.06969601846143,-112.75017981768288
756.0,-111.14706286026384,-112.12326905032461
758.0,-110.9588508659835,-112.62245377123887
760.0,-111.60255221345247,-112.25181488055804
762.0,-113.75986934528568,-112.67751185304306
764.0,-113.31247609745421,-112.12510824460492
766.0,-112.23344690974213,-111.95951568269338
768.0,-112.29033599032516,-111.58095662493567
770.0,-111.79448132893832,-111.52521842879187
772.0,-107.82762448341957,-110.83084456128915
774.0,-105.73180781531832,-107.71806256022916
776.0,-107.86883264306081,-107.8910077615866
778.0,-110.47785198070395,-109.09881879553858
780.0,-110.98037309121551,-110.89530212323089
782.0,-111.42296004646367,-111.72686596536538
784.0,-112.59103972836927,-111.08084547523988
786.0,-111.38088481048634,-111.02715562055108
788.0,-110.08159377895625,-110.14871750104633
790.0,-111.87059256032029,-111.81783732775597
792.0,-112.5539764117708,-112.31408437238487
794.0,-111.68939851087507,-112.00306403703648
796.0,-110.9948543648008,-103.00696165258115
798.0,-109.9793486722437,-99.28773888035559
800.0,-111.07924944720402,-105.59054883636554
802.0,-112.82792202303196,-112.97486771853258
804.0,-112.46467405256317,-112.87355589887129
806.0,-112.17389627961809,-112.0679097380242
808.0,-111.48264636441064,-111.14789869352676
810.0,-111.12048996019523,-111.29126071334476
812.0,-111.3893208915372,-111.41611155249015
814.0,-111.34027862580567,-112.90848145488631
816.0,-111.32030613364078,-112.91505243155464
818.0,-110.93441945502192,-112.38491888903381
820.0,-108.8020066779295,-111.48652936113793
822.0,-104.07618047609273,-110.72598509576576
824.0,-102.31609903284608,-109.09118981934057
826.0,-104.7880328619369,-109.17382234945623
828.0,-109.3219580758035,-109.11733252364385
830.0,-112.72283093471015,-109.8099330356419
832.0,-110.24995657490331,-109.30303718518893
834.0,-107.08702306653016,-108.79573827296475
836.0,-105.72234235715877,-110.90746196400082
838.0,-105.64925634793173,-111.40294563651791
840.0,-107.45778531748259,-112.81370709645776
842.0,-109.43860562931792,-111.39125289284807
844.0,-109.61214135932964,-105.40283812459899
846.0,-91.59375002311137,-87.46714292452845
848.0,-85.45028488350115,-84.66725079354799
850.0,-91.08660567900577,-93.92093156606322
852.0,-110.28536727606544,-109.68726027149106
854.0,-111.32712008949694,-113.4207116273387
856.0,-112.06563044794788,-113.89857364459154
858.0,-112.04160061882492,-112.50438328514275
860.0,-112.00389685136375,-111.74819499167927
862.0,-111.92463646247259,-111.2610994214606
864.0,-111.83929180456055,-113.5492018187218
866.0,-111.6705131889479,-113.94324925938196
868.0,-112.11721207729383,-111.78658093618914
870.0,-110.58762422372426,-112.39314369561876
872.0,-107.00468203457868,-111.5500585918926
874.0,-105.28617903399865,-107.0331236246432
876.0,-107.54847611904583,-106.56317293181694
878.0,-111.4411731391956,-108.7318913432303
880.0,-113.11096811024231,-110.55328457798342
882.0,-112.86680891921966,-109.66087276766119
884.0,-111.8486847351989,-110.42245473854325
886.0,-111.16624451938529,-111.08983326152733
888.0,-111.40915775802348,-111.52602137838237
890.0,-112.80499712417071,-111.99810846464112
892.0,-113.20761904338599,-112.12322803582644
894.0,-113.8109500414936,-109.27467377336882
896.0,-104.98076791832284,-95.26847117235951
898.0,-99.82259365335487,-93.3011021716261
900.0,-105.56618767032589,-103.13486053274107
902.0,-112.51496332770671,-113.19148754728087
904.0,-112.95868986524091,-112.8980255814718
906.0,-113.39417320142788,-111.87112379235828
908.0,-111.43842707460395,-111.7220236565816
910.0,-111.23654448700051,-113.76678667468923
912.0,-110.28381733110267,-113.25423415216902
914.0,-109.49114744627624,-113.21182543558861
916.0,-110.42109694153785,-111.98076490678685
918.0,-111.2064294772459,-111.70474226939056
920.0,-111.03314667112696,-111.06526335470541
922.0,-111.5886989251805,-110.78456770113405
924.0,-113.14767813488322,-111.94658985677438
926.0,-112.77967662469864,-111.16639344817483
928.0,-112.37121987553166,-110.91112923575716
930.0,-113.02378549278716,-110.22871139076784
932.0,-112.72393828607478,-110.08669000838111
934.0,-110.65992332817578,-110.93390988266627
936.0,-109.2643286581496,-111.75495697389579
938.0,-109.43470487317326,-111.36554855381034
940.0,-111.09079177116769,-111.48440134549548
942.0,-110.41295648786871,-111.20724887194719
944.0,-109.70645915438894,-100.90810818065592
946.0,-90.85539172362411,-86.02603907234665
948.0,-86.14064195400367,-84.84160978033132
950.0,-93.43172177982323,-96.14299338199713
952.0,-112.29993863827218,-109.84286611138768
954.0,-112.86724753787134,-113.61380251327945
956.0,-113.45564053977486,-113.24795421843446
958.0,-113.8477775117788,-112.75183748376884
960.0,-112.83726755040956,-112.08825059459456
962.0,-112.42454280623745,-111.81312333260279
964.0,-112.07126245938382,-112.83480944897563
966.0,-111.49423483029123,-112.31168501839039
968.0,-111.30974027665354,-112.43461177455276
970.0,-110.94296184253389,-111.63173814861999
972.0,-107.81860038466957,-110.04726629203685
974.0,-107.00603419960402,-107.24299866759068
976.0,-110.44550810035979,-107.59076420536184
978.0,-113.49877722258044,-108.88879030911625
980.0,-113.70909036974436,-111.88895432437447
982.0,-112.799834808626,-112.15358215255026
984.0,-112.83610470094446,-112.13527294466859
986.0,-112.73553250746636,-113.1275922011825
988.0,-112.77572457388939,-112.38709651931472
990.0,-112.37900924285809,-113.64456603762224
992.0,-113.27049660936649,-112.5367857853606
994.0,-112.8162251806984,-109.9606237139613
996.0,-106.27833444724273,-97.31314296046074
998.0,-103.3433926528597,-96.9615887241806
1000.0,-108.77901698856947,-107.72258054734712
1002.0,-112.02126863609999,-112.20983661934889
1004.0,-112.69001937610021,-113.01218198346686
1006.0,-112.20217787194417,-114.53185427603373
1008.0,-110.81244343585416,-114.21680008010654
1010.0,-110.36745201918589,-113.09728420134195
1012.0,-109.54158126941545,-113.35377652690782
1014.0,-110.21720085442139,-111.79639970640649
1016.0,-112.01002030766723,-111.38513431504352
1018.0,-111.50296811064345,-111.79476419071216
1020.0,-112.32269380784311,-111.84695308958894
1022.0,-111.35210637586363,-112.25548943549805
1024.0,-110.41230785574619,-111.89553861655139
1026.0,-112.13959425902388,-110.62287138211087
1028.0,-112.01308154624202,-110.98267037948489
1030.0,-113.55486011620661,-111.7742250852492
1032.0,-112.9793735231274,-112.70018970230153
1034.0,-112.25688422710479,-113.59182031459419
1036.0,-110.1976528571759,-112.13982558425224
1038.0,-109.85496899438841,-112.7770177702516
1040.0,-112.92102734960952,-112.94886933165193
1042.0,-111.97793973311437,-112.32805769414334
1044.0,-111.27835680466902,-102.53512283292154
1046.0,-93.79705054841136,-90.87676846145206
1048.0,-90.3607044635752,-91.55635333655309
1050.0,-99.01014011027563,-104.45901420003938
1052.0,-112.1171539885261,-111.61813640422045
1054.0,-112.65825139418425,-112.28392883962938
1056.0,-111.85911478203784,-112.61169198686667
1058.0,-111.36407294026357,-112.2192743506788
1060.0,-112.21512868916192,-113.58777931356394
1062.0,-113.2899976352511,-111.96339854498919
1064.0,-114.812329810459,-112.0534395021686
1066.0,-112.01768417804901,-112.89022821923346
1068.0,-112.13277637365805,-112.5576436064987
1070.0,-113.28400945766013,-112.57939662636618
1072.0,-112.53756197175218,-110.67572890095482
1074.0,-112.70102198642321,-110.27421473774686
1076.0,-113.39131471151033,-111.74354862728052
1078.0,-113.63650818451221,-111.32919082256363
1080.0,-113.04550217661944,-111.287518711705
1082.0,-112.61947613313842,-111.33637698264224
1084.0,-113.88784006722759,-112.04781341347113
1086.0,-113.3276337355555,-111.95582293894802
1088.0,-111.81862135565929,-112.02839061027146
1090.0,-112.72140120808805,-113.07891298039074
1092.0,-112.62403491241469,-112.69805753778812
1094.0,-111.49083567927916,-109.07511710774224
1096.0,-110.97450483941901,-100.85631606926336
1098.0,-109.03687395970387,-102.5858285063547
1100.0,-110.37315002022878,-111.37603547419297
1102.0,-112.23510030693257,-112.41821657473798
1104.0,-113.79143629611085,-112.04121637766967
1106.0,-112.8711941010285,-112.75773701674697
1108.0,-112.50556965647291,-111.36456892924075
1110.0,-112.57146942089187,-111.20862247168145
1112.0,-111.20075448856494,-112.31217093409569
1114.0,-112.06869719624754,-112.55520484035144
1116.0,-111.31065582325772,-113.24435148865729
1118.0,-111.22611523155899,-113.55256926432091
1120.0,-113.7130901880328,-111.98338682588208
1122.0,-113.2133143064358,-112.07674094331023
1124.0,-112.63221104260923,-112.3518167433656
1126.0,-113.46330293948319,-111.8050029816125
1128.0,-112.66392139573054,-112.30533455542066
1130.0,-112.47487057282619,-112.4763493322147
1132.0,-111.21142415030086,-112.63076251001749
1134.0,-112.05139041779161,-112.33445922381333
1136.0,-112.3542879758584,-111.57102234627943
1138.0,-112.2137661271642,-112.63489779710332
1140.0,-112.69731936554983,-111.93849840126458
1142.0,-111.16474767914511,-108.50892412112727
1144.0,-103.5007670377378,-93.98540255318201
1146.0,-86.13304099026459,-84.15781837204145
1148.0,-84.11573194128383,-86.37643037600165
1150.0,-94.60961688180458,-103.08300606838628
1152.0,-110.78172400875633,-111.0417489110566
1154.0,-111.08884341029339,-112.73713237229035
1156.0,-112.94691829014712,-112.1899276264923
1158.0,-112.3204308400686,-112.51686293551617
1160.0,-112.08187445952886,-112.72240008257022
1162.0,-111.56055886988028,-112.8136449372392
1164.0,-112.07526298467951,-112.31532228786959
1166.0,-112.70835174534281,-112.49579529693995
1168.0,-112.35283079501683,-113.29312935547412
1170.0,-112.2033295436766,-113.24200707696077
1172.0,-111.95189650710466,-113.32210987592478
1174.0,-113.27167129589306,-113.67716126986147
1176.0,-112.72523736422008,-112.46626192507236
1178.0,-112.66628358950557,-111.89719587375704
1180.0,-112.4814541676634,-111.83106898064388
1182.0,-112.02405726018344,-112.1364335867649
1184.0,-112.85512891270383,-113.49454613039265
1186.0,-111.42254979319856,-112.666338674039
1188.0,-111.33718715055251,-113.45039376800081
1190.0,-113.59836599365009,-112.50388992244906
1192.0,-114.13058518984386,-112.91071034069054
1194.0,-113.19082544323504,-109.6044244908589
1196.0,-109.87743347601103,-103.03828599802605
1198.0,-109.04342864006887,-105.5136071836815
1200.0,-112.44930032097542,-113.35617687060706
1202.0,-113.07236797224745,-112.95826601214678
1204.0,-112.86253521017133,-111.46045660775226
1206.0,-112.39482226392978,-110.76608250581081
1208.0,-110.47936266529192,-111.50285763535555
1210.0,-110.9928083085233,-112.16172224565443
1212.0,-112.46405846306203,-111.83965651770892
1214.0,-113.72543462632959,-112.9977976845442
1216.0,-113.7134539567203,-112.73975557521143
1218.0,-113.41587441995303,-112.10604537911061
1220.0,-114.41373077605108,-111.94315511532993
1222.0,-113.96636410202973,-112.4795462308311
1224.0,-113.52133287449517,-111.77431074388446
1226.0,-112.29369473226326,-111.09191758964974
1228.0,-112.04147068858279,-111.8069528204672
1230.0,-112.59413570855807,-111.8485130666534
1232.0,-112.62660286295105,-112.37389382385925
1234.0,-112.53011711167959,-114.19738333750476
1236.0,-112.81860402047322,-112.75882819454056
1238.0,-111.42247109030873,-111.70055845625706
1240.0,-109.63282328434218,-111.696339117591
1242.0,-109.84529885348061,-111.02713922909001
